,ProbablyMeantGSTerm,SemanticType,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,adjustedQueryTerm,preferredTerm,ui
1081,lumbar disc herniation,Acquired Abnormality,1081,1081,1081,1081,1081,1081,1081,lumbar disc hernia,Prolapsed lumbar disc,C0281899
2379,bakers cyst,Acquired Abnormality,2379,2379,100,,,,,overloaded backpacks,Popliteal Cyst,C0032650
2531,cervical disc herniation,Acquired Abnormality,2531,94,,,,,,currently indexed,Prolapsed cervical intervertebral disc,C0410619
2598,occlusion,Acquired Abnormality,2598,161,,,,,,breast canser,Complete obstruction,C0001168
2757,cataract,Acquired Abnormality,117,,,,,,,3761-53-3,Cataract,C0086543
430,world war i,Activity,430,430,430,430,430,430,430,world war 2,World War I,C1449759
610,world war i,Activity,610,610,610,610,610,610,610,world war 1,World War I,C1449759
732,characterization,Activity,732,732,732,732,732,732,732,caracterizacion,Characterization,C1880022
1131,maintenance,Activity,1131,1131,1131,1131,1131,1131,1131,maintence,Maintenance,C0024501
1597,world war i,Activity,1597,1597,1597,1597,1597,1597,1597,world wari,World War I,C1449759
1900,handwriting,Activity,1900,1900,1900,1900,1900,35,,ijsr,Handwriting,C0018582
2001,handwriting,Activity,2001,2001,2001,2001,16,,,64-17-5,Handwriting,C0018582
2279,binding,Activity,2279,2279,0,,,,,clara barton,Binding action,C1145667
2339,allocations,Activity,2339,2339,60,,,,,klinefelters,Allocation,C1706778
227,children,Age Group,227,227,227,227,227,227,227,childrens,Child,C0008059
1282,newborn,Age Group,1282,1282,1282,1282,1282,1282,1282,new born,"Infant, Newborn",C0021289
1795,teenager,Age Group,1795,1795,1795,1795,1795,1795,59,teenagers,Adolescent (age group),C0205653
1846,adolescent,Age Group,1846,1846,1846,1846,1846,1846,110,adolescente,Adolescent (age group),C0205653
2274,neonate,Age Group,2274,2274,2274,177,,,,bacillus not cellulose,"Infant, Newborn",C0021289
2639,preschool child,Age Group,2639,202,,,,,,mortalidad perinatal,"Child, Preschool",C0008100
1704,prions,"Amino Acid, Peptide, or Protein",1704,1704,1704,1704,1704,1704,1704,priones,Prions,C0033164
2136,oligopeptide,"Amino Acid, Peptide, or Protein",2136,2136,2136,39,,,,how are viruses like hijackers,Oligopeptides,C0028954
1968,vancomycin,"Amino Acid, Peptide, or Protein|Antibiotic",1968,1968,1968,1968,1968,103,,vih,Vancomycin,C0042313
2000,vancomycin,"Amino Acid, Peptide, or Protein|Antibiotic",2000,2000,2000,2000,15,,,prednisolone ketosis,Vancomycin,C0042313
55,glutathione,"Amino Acid, Peptide, or Protein|Biologically Active Substance",55,55,55,55,55,55,55,glutation,Glutathione,C0017817
237,cytochrome c in humans,"Amino Acid, Peptide, or Protein|Biologically Active Substance",237,237,237,237,237,237,237,chytochrome c in humans,"Cytochrome C, human",C4318401
365,beta lactoglobulins,"Amino Acid, Peptide, or Protein|Biologically Active Substance",365,365,365,365,365,365,365,beta lactoglobuline,beta Lactoglobulin,C0005248
418,troponin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",418,418,418,418,418,418,418,troponine,Troponin,C0041199
433,nerve growth factor,"Amino Acid, Peptide, or Protein|Biologically Active Substance",433,433,433,433,433,433,433,nerve growth factor eye,Nerve Growth Factor,C0027752
793,creatin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",793,793,793,793,793,793,793,creatina,Creatine,C0010286
1011,prealbumin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",1011,1011,1011,1011,1011,1011,1011,paralbumin,Prealbumin,C0032923
1147,lactoferrin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",1147,1147,1147,1147,1147,1147,1147,lactoferrine,Lactoferrin,C0022942
1180,lipoprotein,"Amino Acid, Peptide, or Protein|Biologically Active Substance",1180,1180,1180,1180,1180,1180,1180,lipoprotein a,Lipoproteins,C0023820
1373,methemoglobin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",1373,1373,1373,1373,1373,1373,1373,methahemoglobin,Methemoglobin,C0025635
1374,methemoglobin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",1374,1374,1374,1374,1374,1374,1374,methemoglobina,Methemoglobin,C0025635
1433,tau protein,"Amino Acid, Peptide, or Protein|Biologically Active Substance",1433,1433,1433,1433,1433,1433,1433,tau protien,tau Proteins,C0085401
1581,zonulin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",1581,1581,1581,1581,1581,1581,1581,zonuline,zonulin,C0914216
1702,atrial natriuretic peptide,"Amino Acid, Peptide, or Protein|Biologically Active Substance",1702,1702,1702,1702,1702,1702,1702,proatrial natriuretic peptide,Atrial Natriuretic Factor,C0027481
1800,albumin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",1800,1800,1800,1800,1800,1800,64,albumina,Albumins,C0001924
2133,aquaporin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",2133,2133,2133,36,,,,paracetamol and its effect,water channel,C0599635
2196,type iii collagen,"Amino Acid, Peptide, or Protein|Biologically Active Substance",2196,2196,2196,99,,,,why are viruses hard to treat,Collagen Type III,C0009332
2199,creatine,"Amino Acid, Peptide, or Protein|Biologically Active Substance",2199,2199,2199,102,,,,ijmsir,Creatine,C0010286
2252,growth factor,"Amino Acid, Peptide, or Protein|Biologically Active Substance",2252,2252,2252,155,,,,wwii,Growth Factor,C0018284
2362,hemoglobin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",2362,2362,83,,,,,wildcard,Hemoglobin,C0019046
2399,methemoglobin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",2399,2399,120,,,,,charles r drew,Methemoglobin,C0025635
2482,aquaporin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",2482,45,,,,,,xxxxxx,water channel,C0599635
2558,growth factor,"Amino Acid, Peptide, or Protein|Biologically Active Substance",2558,121,,,,,,ko wj taiwan,Growth Factor,C0018284
2614,proteins,"Amino Acid, Peptide, or Protein|Biologically Active Substance",2614,177,,,,,,hipopotasemia,Proteins,C0033684
