adjustedQueryTerm,preferredTerm,SemanticTypeName,NewSemanticTypeName,
interveiws,Interview,Activity,,
logos,,Activity,,
galen,,"Amino Acid, Peptide, or Protein|Enzyme",,
galen,,"Amino Acid, Peptide, or Protein|Enzyme",,
hipertensión,Hypertensin,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",,
levotiroxina,levothyroxine,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",,
gut bacteria,Bacteria,Bacterium,,
nutricion,Science of nutrition,Biomedical Occupation or Discipline,,
flow and positive psychology,Positive Psychology,Biomedical Occupation or Discipline,,
gallery,,Biomedical Occupation or Discipline,,
nutrición,Science of nutrition,Biomedical Occupation or Discipline,,
desnutricion,Science of nutrition,Biomedical Occupation or Discipline,,
bmc public health,,Biomedical Occupation or Discipline,,
medical terminology,,Biomedical Occupation or Discipline,,
forensic,Forensic Medicine,Biomedical Occupation or Discipline,,
graphic medicine,,Biomedical Occupation or Discipline,,
acupuntura,Acupuncture therapy discipline,Biomedical Occupation or Discipline,,
physioterapy,Physical therapy (field),Biomedical Occupation or Discipline,,
ortodoncia,Orthodontics speciality,Biomedical Occupation or Discipline,,
moisturizing,MOISTURIZER,Biomedical or Dental Material,,
bpck,,Body Location or Region,,
dream anatomy,,"Body Part, Organ, or Organ Component",,
the yellow wall,,Cell Component,,
redox signaling,Signal Transduction,Cell Function,,
pill identifier,,Clinical Attribute,,
tetralogia de fallot,Tetralogy of Fallot,Congenital Abnormality,,
huntigton deasese,Huntington Disease,Disease or Syndrome,,
urinary tract infection korea,Urinary tract infection,Disease or Syndrome,,
hiit,,Disease or Syndrome,,
hiit,,Disease or Syndrome,,
hepstitis,Hepatitis,Disease or Syndrome,,
artrite reamatoide,Rheumatoid Arthritis,Disease or Syndrome,,
deabets,Diabetes,Disease or Syndrome,,
toxoplasmose,Toxoplasmosis,Disease or Syndrome,,
tromboflebitis,Thrombophlebitis,Disease or Syndrome,,
multiple sclerosis research,Multiple Sclerosis,Disease or Syndrome,,
anaeima in childrn,Anemia in children,Disease or Syndrome,,
1918 influenza,Influenza,Disease or Syndrome,,
congestive heart failuresearch,Congestive heart failure,Disease or Syndrome,,
tourettes syndrome life,Gilles de la Tourette syndrome,Disease or Syndrome,,
hyper dysmenorrhea,Dysmenorrhea,Disease or Syndrome,,
ocpl,,Disease or Syndrome,,
lactosa intolerable,Lactose Intolerance,Disease or Syndrome,,
tuberculose,Tuberculosis,Disease or Syndrome,,
nerfrotic sindrome,Nephrotic Syndrome,Disease or Syndrome,,
huggingtons disease,Huntington Disease,Disease or Syndrome,,
hypertension in older adults,Hypertension in old age,Disease or Syndrome,,
rheumatoid,Rheumatism,Disease or Syndrome,,
deep vein thrombosis treatment,Deep Vein Thrombosis,Disease or Syndrome,,
sindrome de down,Down Syndrome,Disease or Syndrome,,
dismenorrea,Dysmenorrhea,Disease or Syndrome,,
hand foot mouth,"Hand, Foot and Mouth Disease",Disease or Syndrome,,
over cyst,Ovarian Cysts,Disease or Syndrome,,
plantar fasciitis treatment,"Fasciitis, Plantar",Disease or Syndrome,,
tiab,,Disease or Syndrome,,
jcdr,,Disease or Syndrome,,
asthma hot,Asthma,Disease or Syndrome,,
pelvis inflammatory disease,Pelvic Inflammatory Disease,Disease or Syndrome,,
hemofilia,Hemophilia A,Disease or Syndrome,,
autoimune diseases,Autoimmune Diseases,Disease or Syndrome,,
stoke,Cerebrovascular accident,Disease or Syndrome,,
patellofemoral pain,Patellofemoral Pain Syndrome,Disease or Syndrome,,
epilepsie,Epilepsy,Disease or Syndrome,,
insuficiencia renal,"Kidney Failure, Acute",Disease or Syndrome,,
esclerose multipla,Multiple Sclerosis,Disease or Syndrome,,
diabetes gestacional,Gestational Diabetes,Disease or Syndrome,,
osteopatia,Bone Diseases,Disease or Syndrome,,
hipotiroidismo,Hypothyroidism,Disease or Syndrome,,
alzheimers disease cures,Alzheimer's Disease,Disease or Syndrome,,
alzhimers,Alzheimer's Disease,Disease or Syndrome,,
bronquitis,Bronchitis,Disease or Syndrome,,
hepatit b,Hepatitis B,Disease or Syndrome,,
tendinopathie,Disorder of tendon,Disease or Syndrome,,
nicturia,Nocturia,Disease or Syndrome,,
medical education journals,,Educational Activity,,
surrogacy,Surrogate,Family Group,,
phpartners,,Family Group,,
keto diet,Ketogenic Diet,Finding,,
freud,,Finding,,
estres,Stress,Finding,,
journal musculoskelet al pain,,Finding,,
hipotermia,"Hypothermia, natural",Finding,,
suicidio,Suicide,Finding,,
zebrafish p53,Zebrafish,Fish,,
food suplements,Dietary Supplements,Food,,
drink green tea,Green tea (dietary),Food,,
bemer,,Food,,
dieta,Diet,Food,,
artigos,Foreign Unresolved,Foreign Unresolved,,
presion arterial,Foreign Unresolved,Foreign Unresolved,,
cauti,Foreign Unresolved,Foreign Unresolved,,
afasia,Foreign Unresolved,Foreign Unresolved,,
fisiology,Foreign Unresolved,Foreign Unresolved,,
estrias,Foreign Unresolved,Foreign Unresolved,,
uniform requirements,,Functional Concept,,
psicologia,Psychologic,Functional Concept,,
endodoncia,Endodontic,Functional Concept,,
brca,BRCA1 gene,Gene or Genome,,
ijsr,,Geographic Area,,
pubmed health,,Group Attribute,,
native american health videos,,Group Attribute,,
person centred care,Patient-Centered Care,Health Care Activity,,
nursing journals,,Health Care Activity,,
nursing journals,,Health Care Activity,,
nursing journals,,Health Care Activity,,
nursing journal,,Health Care Activity,,
diabetes care,Diabetic care,Health Care Activity,,
health care management,Health management,Health Care Activity,,
end of life,terminal patient care,Health Care Activity,,
healthreach,,Health Care Activity,,
social determinants,Social Determinants of Health,Health Care Activity,,
nutrition journal,,Health Care Related Organization,,
food waste management,Waste Management,Human-caused Phenomenon or Process,,
nurse teory,Nursing Theory,Idea or Concept,,
shingles zoster vaccine,Herpes Zoster Vaccine,Immunologic Factor|Pharmacologic Substance,,
vaccine refusal osler,Vaccination Refusal,Individual Behavior,,
assertive,Assertiveness,Individual Behavior,,
alcohol during pregnancy,Alcohol Abuse in Pregnancy,Injury or Poisoning,,
mushroom poisoning diagnosis,Mushroom Poisoning,Injury or Poisoning,,
impact factor,,Injury or Poisoning,,
icmje,,Inorganic Chemical,,
pupmed,,Intellectual Product,,
rxcui,,Intellectual Product,,
pub medgov,,Intellectual Product,,
pudmed,,Intellectual Product,,
subheading,Subject Headings,Intellectual Product,,
snomed codes,,Intellectual Product,,
articulos,Article,Intellectual Product,,
referencias,Bibliographic Reference,Intellectual Product,,
mysql,Structured Query Language,Intellectual Product,,
nursing journals,Journal-related,Journal-related,,
nursing journal,Journal-related,Journal-related,,
icmje,Journal-related,Journal-related,,
journal list,Journal-related,Journal-related,,
nejm,Journal-related,Journal-related,,
ijcr,Journal-related,Journal-related,,
bmc public health,Journal-related,Journal-related,,
ijsr,Journal-related,Journal-related,,
impact factor,Journal-related,Journal-related,,
cureus,Journal-related,Journal-related,,
elsevier,Journal-related,Journal-related,,
iosr,Journal-related,Journal-related,,
nursing articles,Journal-related,Journal-related,,
international journal,Journal-related,Journal-related,,
british medical journal,,Journal-related,,
medical journals,,Journal-related,,
biomed research international,,Journal-related,,
n engl j med,,Journal-related,,
vancouver referencing,,Journal-related,,
web of science,,Journal-related,,
nature medicine,,Journal-related,,
indian journal of psychiatry,,Journal-related,,
biomedical journal,,Journal-related,,
annals,,Journal-related,,
american journal of psychiatry,,Journal-related,,
grays anatomy,,Journal-related,,
physiotherapy articles,,Journal-related,,
researchgate,,Journal-related,,
bmj open,,Journal-related,,
international surgery journal,,Journal-related,,
health affairs,,Journal-related,,
author search,,Journal-related,,
issn,,Journal-related,,
b12 deficiency,,Journal-related,,
american journal of medicine,,Journal-related,,
cochrane library,,Journal-related,,
pan african medical journal,,Journal-related,,
european journal of obstetrics,,Journal-related,,
dental journal,,Journal-related,,
keywords list,,Journal-related,,
plos,,Journal-related,,
psychological bulletin,,Journal-related,,
pathology journals,,Journal-related,,
british journal of surgery,,Journal-related,,
american heart journal,,Journal-related,,
vancover,,Journal-related,,
cochrane,,Journal-related,,
medical abbreviations,,Journal-related,,
indian medical journal,,Journal-related,,
j clin oncol,,Journal-related,,
saudi medical journal,,Journal-related,,
the journal of nutrition,,Journal-related,,
archives of surgery,,Journal-related,,
circulation journal,,Journal-related,,
ama citation,,Journal-related,,
new england journal,,Journal-related,,
world journal of dentistry,,Journal-related,,
bmj case reports,,Journal-related,,
european journal of cancer,,Journal-related,,
j clin microbiol,,Journal-related,,
annals of oncology,,Journal-related,,
iraqi dental journal,,Journal-related,,
indian heart journal,,Journal-related,,
journal name abbreviation,,Journal-related,,
nature immunology,,Journal-related,,
british journal of psychiatry,,Journal-related,,
british journal of nutrition,,Journal-related,,
indian journal of child health,,Journal-related,,
medical journal,,Journal-related,,
west virginia medical journal,,Journal-related,,
international dental journal,,Journal-related,,
eur j cancer,,Journal-related,,
international medical journal,,Journal-related,,
blood journal,,Journal-related,,
nature reviews disease primers,,Journal-related,,
physiotherapy journal,,Journal-related,,
british journal,,Journal-related,,
british journal of cancer,,Journal-related,,
british journal of medicine,,Journal-related,,
oman medical journal,,Journal-related,,
south asian journal of cancer,,Journal-related,,
foundation years journal,,Journal-related,,
nature neuroscience,,Journal-related,,
nature reviews cancer,,Journal-related,,
delhi psychiatry journal,,Journal-related,,
j am soc nephrol,,Journal-related,,
australasian medical journal,,Journal-related,,
j biol chem,,Journal-related,,
european spine journal,,Journal-related,,
european respiratory journal,,Journal-related,,
saudi dental journal,,Journal-related,,
saudi journal,,Journal-related,,
american journal of surgery,,Journal-related,,
indian journal of rheumatology,,Journal-related,,
indian journal of research,,Journal-related,,
the scientific world journal,,Journal-related,,
journal donation system,,Journal-related,,
